Folder,Test scenerios,Testcase 1,Testcase name,Objective/TestDescripation/test case title/test scenerio,Precondition/pre-requisite,Priority,Test step/Action/stepDescription,Input/Testdata,Expected result,ActualResult,Status
/User Module/Account Create,Verify the process of successfully creating a new Amazon account.,TC 001,Test Amazon Account Creation,Verify the process of successfully creating a new Amazon account.,,High,Open Amazon website (www.amazon.com),(www.amazon.com),Amazon homepage is displayed.,,
,,,,,,,"Click on ""Account & Lists"" menu",,Dropdown menu is displayed,,
,,,,,,,"Click on ""Start here"" under Create account",,Redirected to the account registration page.,,
,,,,,,,"Enter a valid name in the ""Your name"" field",,"Name is entered successfully in the ""Your name"" field.",,
,,,,,,,"Enter a valid email address in the ""Email"" field",Email: testuser@example.com,Valid email is entered without errors.,,
,,,,,,,"Enter a password in the ""Password"" field",Password: Example123,"Password is entered successfully and meets Amazon’s requirements (e.g., minimum 6 characters, including a number).",,
,,,,,,,"Confirm password in the ""Re-enter password"" field",,Confirm password matches the password entered in Step 6.,,
,,,,,,,"Click on the ""Create your Amazon account"" button",,The system processes the request to create the account.,,
,,,,,,,Verify email confirmation prompt or code (if applicable),,A confirmation email or code is sent to the entered email address.,,
,,,,,,,Enter the verification code from email (if applicable),,"The code is entered correctly, and the account is created successfully.",,
,,,,,,,Login to Amazon using newly created credentials,,User is logged into Amazon with the newly created account.,,
,,,,,,,,,,,
,Amazon Login Functionality,TC 002,Login Account,To verify that the user is able to successfully log in to the Amazon website with valid credentials.,"User is successfully logged into their Amazon account and can access personalized features like order history, recommendations, etc.",High,Open Amazon homepage (https://www.amazon.com),,Amazon homepage loads,Amazon homepage is displayed,
,,,,,,,"Click on the ""Sign In"" button located at the top-right of the homepage",,Login page is displayed,Login page is shown,
,,,,,,,"Enter valid email address or mobile number in the ""Email or mobile phone"" field",Email Address: user@example.com,Correct field is populated,Email address is entered,
,,,,,,,"Click the ""Continue"" button",,The password field is displayed,Password field appears,
,,,,,,,"Enter valid password in the ""Password"" field",Password: Example@1234,Correct password is entered,Password is entered correctly,
,,,,,,,"Click the ""Sign-In"" button",,User should be logged in and redirected to the Amazon homepage,User is logged in successfully,
,,,,,,,,,,,
,,,,"verify that the ""Forgot Password"" functionality works correctly for a registered Amazon user. It includes verifying the email-based password reset process","The user should have a valid Amazon account.
The user should have access to the registered email account.",High,Navigate to the Amazon login page.,,"The ""Forgot your password?"" link should be visible on the login page.",,
,,,,,,,"Click on the ""Sign in"" button.",,,,
,,,,,,,"On the login page, click on the ""Forgot your password?"" link",,,,
,,,,,,,Enter a valid email address that is associated with an existing Amazon account,,"After submitting a valid email address, the user should receive a password reset email within a few minutes.",,
,,,,,,,"Click on the ""Continue"" button.",,,,
,,,,,,,Check the email inbox for a password reset email.,,The password reset link in the email should open a page where the user can input a new password.,,
,,,,,,,Open the email and click on the password reset link.,,,,
,,,,,,,"Enter a new password in the ""New Password"" field.",,The new password should be successfully saved.,,
,,,,,,,"Confirm the new password in the ""Confirm Password"" field.",,The new password should be successfully saved.,,
,,,,,,,"Click on the ""Submit"" button.",,The user should be redirected to the login page after resetting the password.,,
,,,,,,,Verify that the user is redirected to the login page.,,,,
